ADV,LAT,LON,TIME,WIND,PR,STAT
1,11.50,-56.60,08/31/12Z,25,1009,TROPICAL,DEPRESSION
2,11.50,-58.00,08/31/18Z,30,1008,TROPICAL,DEPRESSION
3,12.10,-59.40,09/01/00Z,35,1007,TROPICAL,STORM
4,12.10,-61.10,09/01/06Z,40,1005,TROPICAL,STORM
5,12.10,-61.70,09/01/08Z,45,1001,TROPICAL,STORM
6,12.20,-62.80,09/01/12Z,50,1001,TROPICAL,STORM
7,12.40,-64.50,09/01/18Z,60,999,TROPICAL,STORM
8,12.60,-66.10,09/02/00Z,65,992,HURRICANE-1
9,12.70,-67.80,09/02/06Z,85,985,HURRICANE-2
10,13.00,-69.40,09/02/12Z,90,980,HURRICANE-2
11,13.40,-71.10,09/02/18Z,115,962,HURRICANE-4
12,13.80,-73.00,09/03/00Z,150,935,HURRICANE-5
13,14.00,-75.00,09/03/06Z,150,930,HURRICANE-5
14,14.00,-75.30,09/03/07Z,150,929,HURRICANE-5
15,14.20,-76.90,09/03/12Z,140,937,HURRICANE-5
16,14.30,-78.70,09/03/18Z,115,951,HURRICANE-4
17,14.40,-80.40,09/04/00Z,115,950,HURRICANE-4
18,14.30,-81.90,09/04/06Z,135,939,HURRICANE-4
19,14.30,-83.20,09/04/12Z,140,934,HURRICANE-5
20,14.30,-84.40,09/04/18Z,85,962,HURRICANE-2
21,14.60,-85.40,09/05/00Z,50,982,TROPICAL,STORM
22,15.00,-86.40,09/05/06Z,25,1004,TROPICAL,DEPRESSION
23,15.50,-87.30,09/05/12Z,20,1006,LOW
24,16.10,-88.30,09/05/18Z,20,1007,LOW
25,16.50,-89.50,09/06/00Z,20,1007,LOW
26,16.70,-90.80,09/06/06Z,20,1007,LOW
27,17.20,-92.40,09/06/12Z,20,1007,LOW
28,17.70,-93.80,09/06/18Z,15,1010,LOW
